t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
391.348,390.164,384.377,379.48,378.738,376.745,381.82,391.339,385.231,387.618,386.138,383.502,382.931
390.164,384.377,379.48,378.738,376.745,381.82,391.339,385.231,387.618,386.138,383.502,382.931,383.202
384.377,379.48,378.738,376.745,381.82,391.339,385.231,387.618,386.138,383.502,382.931,383.202,385.209
379.48,378.738,376.745,381.82,391.339,385.231,387.618,386.138,383.502,382.931,383.202,385.209,387.445
378.738,376.745,381.82,391.339,385.231,387.618,386.138,383.502,382.931,383.202,385.209,387.445,398.695
376.745,381.82,391.339,385.231,387.618,386.138,383.502,382.931,383.202,385.209,387.445,398.695,404.919
381.82,391.339,385.231,387.618,386.138,383.502,382.931,383.202,385.209,387.445,398.695,404.919,396.512
391.339,385.231,387.618,386.138,383.502,382.931,383.202,385.209,387.445,398.695,404.919,396.512,392.87
385.231,387.618,386.138,383.502,382.931,383.202,385.209,387.445,398.695,404.919,396.512,392.87,391.99
387.618,386.138,383.502,382.931,383.202,385.209,387.445,398.695,404.919,396.512,392.87,391.99,385.245
386.138,383.502,382.931,383.202,385.209,387.445,398.695,404.919,396.512,392.87,391.99,385.245,383.457
383.502,382.931,383.202,385.209,387.445,398.695,404.919,396.512,392.87,391.99,385.245,383.457,387.51
382.931,383.202,385.209,387.445,398.695,404.919,396.512,392.87,391.99,385.245,383.457,387.51,383.29
383.202,385.209,387.445,398.695,404.919,396.512,392.87,391.99,385.245,383.457,387.51,383.29,380.909
385.209,387.445,398.695,404.919,396.512,392.87,391.99,385.245,383.457,387.51,383.29,380.909,377.869
387.445,398.695,404.919,396.512,392.87,391.99,385.245,383.457,387.51,383.29,380.909,377.869,369.338
398.695,404.919,396.512,392.87,391.99,385.245,383.457,387.51,383.29,380.909,377.869,369.338,355.025
404.919,396.512,392.87,391.99,385.245,383.457,387.51,383.29,380.909,377.869,369.338,355.025,346.4
396.512,392.87,391.99,385.245,383.457,387.51,383.29,380.909,377.869,369.338,355.025,346.4,352.311
392.87,391.99,385.245,383.457,387.51,383.29,380.909,377.869,369.338,355.025,346.4,352.311,344.707
391.99,385.245,383.457,387.51,383.29,380.909,377.869,369.338,355.025,346.4,352.311,344.707,344.1
385.245,383.457,387.51,383.29,380.909,377.869,369.338,355.025,346.4,352.311,344.707,344.1,340.805
383.457,387.51,383.29,380.909,377.869,369.338,355.025,346.4,352.311,344.707,344.1,340.805,323.78
387.51,383.29,380.909,377.869,369.338,355.025,346.4,352.311,344.707,344.1,340.805,323.78,323.998
383.29,380.909,377.869,369.338,355.025,346.4,352.311,344.707,344.1,340.805,323.78,323.998,322.616
380.909,377.869,369.338,355.025,346.4,352.311,344.707,344.1,340.805,323.78,323.998,322.616,324.863
377.869,369.338,355.025,346.4,352.311,344.707,344.1,340.805,323.78,323.998,322.616,324.863,306.345
369.338,355.025,346.4,352.311,344.707,344.1,340.805,323.78,323.998,322.616,324.863,306.345,288.776
355.025,346.4,352.311,344.707,344.1,340.805,323.78,323.998,322.616,324.863,306.345,288.776,289.264
346.4,352.311,344.707,344.1,340.805,323.78,323.998,322.616,324.863,306.345,288.776,289.264,297.743
352.311,344.707,344.1,340.805,323.78,323.998,322.616,324.863,306.345,288.776,289.264,297.743,295.87
344.707,344.1,340.805,323.78,323.998,322.616,324.863,306.345,288.776,289.264,297.743,295.87,308.558
344.1,340.805,323.78,323.998,322.616,324.863,306.345,288.776,289.264,297.743,295.87,308.558,298.971
340.805,323.78,323.998,322.616,324.863,306.345,288.776,289.264,297.743,295.87,308.558,298.971,292.223
323.78,323.998,322.616,324.863,306.345,288.776,289.264,297.743,295.87,308.558,298.971,292.223,292.874
323.998,322.616,324.863,306.345,288.776,289.264,297.743,295.87,308.558,298.971,292.223,292.874,284.228
322.616,324.863,306.345,288.776,289.264,297.743,295.87,308.558,298.971,292.223,292.874,284.228,288.661
324.863,306.345,288.776,289.264,297.743,295.87,308.558,298.971,292.223,292.874,284.228,288.661,296.595
306.345,288.776,289.264,297.743,295.87,308.558,298.971,292.223,292.874,284.228,288.661,296.595,294.243
288.776,289.264,297.743,295.87,308.558,298.971,292.223,292.874,284.228,288.661,296.595,294.243,291.357
289.264,297.743,295.87,308.558,298.971,292.223,292.874,284.228,288.661,296.595,294.243,291.357,287.333
297.743,295.87,308.558,298.971,292.223,292.874,284.228,288.661,296.595,294.243,291.357,287.333,287.495
295.87,308.558,298.971,292.223,292.874,284.228,288.661,296.595,294.243,291.357,287.333,287.495,286.243
308.558,298.971,292.223,292.874,284.228,288.661,296.595,294.243,291.357,287.333,287.495,286.243,282.62
298.971,292.223,292.874,284.228,288.661,296.595,294.243,291.357,287.333,287.495,286.243,282.62,276.932
292.223,292.874,284.228,288.661,296.595,294.243,291.357,287.333,287.495,286.243,282.62,276.932,261.402
292.874,284.228,288.661,296.595,294.243,291.357,287.333,287.495,286.243,282.62,276.932,261.402,256.198
284.228,288.661,296.595,294.243,291.357,287.333,287.495,286.243,282.62,276.932,261.402,256.198,256.936
288.661,296.595,294.243,291.357,287.333,287.495,286.243,282.62,276.932,261.402,256.198,256.936,264.47
296.595,294.243,291.357,287.333,287.495,286.243,282.62,276.932,261.402,256.198,256.936,264.47,311.562
294.243,291.357,287.333,287.495,286.243,282.62,276.932,261.402,256.198,256.936,264.47,311.562,293.65
291.357,287.333,287.495,286.243,282.62,276.932,261.402,256.198,256.936,264.47,311.562,293.65,283.743
287.333,287.495,286.243,282.62,276.932,261.402,256.198,256.936,264.47,311.562,293.65,283.743,284.59
287.495,286.243,282.62,276.932,261.402,256.198,256.936,264.47,311.562,293.65,283.743,284.59,300.855
286.243,282.62,276.932,261.402,256.198,256.936,264.47,311.562,293.65,283.743,284.59,300.855,286.704
282.62,276.932,261.402,256.198,256.936,264.47,311.562,293.65,283.743,284.59,300.855,286.704,279.961
276.932,261.402,256.198,256.936,264.47,311.562,293.65,283.743,284.59,300.855,286.704,279.961,275.293
261.402,256.198,256.936,264.47,311.562,293.65,283.743,284.59,300.855,286.704,279.961,275.293,285.368
256.198,256.936,264.47,311.562,293.65,283.743,284.59,300.855,286.704,279.961,275.293,285.368,282.152
256.936,264.47,311.562,293.65,283.743,284.59,300.855,286.704,279.961,275.293,285.368,282.152,274.523
264.47,311.562,293.65,283.743,284.59,300.855,286.704,279.961,275.293,285.368,282.152,274.523,273.676
311.562,293.65,283.743,284.59,300.855,286.704,279.961,275.293,285.368,282.152,274.523,273.676,270.405
293.65,283.743,284.59,300.855,286.704,279.961,275.293,285.368,282.152,274.523,273.676,270.405,265.989
283.743,284.59,300.855,286.704,279.961,275.293,285.368,282.152,274.523,273.676,270.405,265.989,271.892
284.59,300.855,286.704,279.961,275.293,285.368,282.152,274.523,273.676,270.405,265.989,271.892,265.934
300.855,286.704,279.961,275.293,285.368,282.152,274.523,273.676,270.405,265.989,271.892,265.934,262.018
286.704,279.961,275.293,285.368,282.152,274.523,273.676,270.405,265.989,271.892,265.934,262.018,263.273
279.961,275.293,285.368,282.152,274.523,273.676,270.405,265.989,271.892,265.934,262.018,263.273,260.75
275.293,285.368,282.152,274.523,273.676,270.405,265.989,271.892,265.934,262.018,263.273,260.75,272.057
285.368,282.152,274.523,273.676,270.405,265.989,271.892,265.934,262.018,263.273,260.75,272.057,270.738
282.152,274.523,273.676,270.405,265.989,271.892,265.934,262.018,263.273,260.75,272.057,270.738,267.707
274.523,273.676,270.405,265.989,271.892,265.934,262.018,263.273,260.75,272.057,270.738,267.707,272.657
273.676,270.405,265.989,271.892,265.934,262.018,263.273,260.75,272.057,270.738,267.707,272.657,282.478
270.405,265.989,271.892,265.934,262.018,263.273,260.75,272.057,270.738,267.707,272.657,282.478,283.322
265.989,271.892,265.934,262.018,263.273,260.75,272.057,270.738,267.707,272.657,282.478,283.322,276.248
271.892,265.934,262.018,263.273,260.75,272.057,270.738,267.707,272.657,282.478,283.322,276.248,275.992
265.934,262.018,263.273,260.75,272.057,270.738,267.707,272.657,282.478,283.322,276.248,275.992,281.764
262.018,263.273,260.75,272.057,270.738,267.707,272.657,282.478,283.322,276.248,275.992,281.764,295.683
263.273,260.75,272.057,270.738,267.707,272.657,282.478,283.322,276.248,275.992,281.764,295.683,294.353
260.75,272.057,270.738,267.707,272.657,282.478,283.322,276.248,275.992,281.764,295.683,294.353,302.862
272.057,270.738,267.707,272.657,282.478,283.322,276.248,275.992,281.764,295.683,294.353,302.862,314.48
270.738,267.707,272.657,282.478,283.322,276.248,275.992,281.764,295.683,294.353,302.862,314.48,321.536
267.707,272.657,282.478,283.322,276.248,275.992,281.764,295.683,294.353,302.862,314.48,321.536,313.567
272.657,282.478,283.322,276.248,275.992,281.764,295.683,294.353,302.862,314.48,321.536,313.567,310.045
282.478,283.322,276.248,275.992,281.764,295.683,294.353,302.862,314.48,321.536,313.567,310.045,318.8
283.322,276.248,275.992,281.764,295.683,294.353,302.862,314.48,321.536,313.567,310.045,318.8,316.748
276.248,275.992,281.764,295.683,294.353,302.862,314.48,321.536,313.567,310.045,318.8,316.748,319.255
275.992,281.764,295.683,294.353,302.862,314.48,321.536,313.567,310.045,318.8,316.748,319.255,333.3
281.764,295.683,294.353,302.862,314.48,321.536,313.567,310.045,318.8,316.748,319.255,333.3,356.864
295.683,294.353,302.862,314.48,321.536,313.567,310.045,318.8,316.748,319.255,333.3,356.864,359.575
294.353,302.862,314.48,321.536,313.567,310.045,318.8,316.748,319.255,333.3,356.864,359.575,341.564
302.862,314.48,321.536,313.567,310.045,318.8,316.748,319.255,333.3,356.864,359.575,341.564,328.208
314.48,321.536,313.567,310.045,318.8,316.748,319.255,333.3,356.864,359.575,341.564,328.208,355.405
321.536,313.567,310.045,318.8,316.748,319.255,333.3,356.864,359.575,341.564,328.208,355.405,356.912
313.567,310.045,318.8,316.748,319.255,333.3,356.864,359.575,341.564,328.208,355.405,356.912,350.765
310.045,318.8,316.748,319.255,333.3,356.864,359.575,341.564,328.208,355.405,356.912,350.765,358.993
318.8,316.748,319.255,333.3,356.864,359.575,341.564,328.208,355.405,356.912,350.765,358.993,378.859
316.748,319.255,333.3,356.864,359.575,341.564,328.208,355.405,356.912,350.765,358.993,378.859,379.093
319.255,333.3,356.864,359.575,341.564,328.208,355.405,356.912,350.765,358.993,378.859,379.093,390.2
333.3,356.864,359.575,341.564,328.208,355.405,356.912,350.765,358.993,378.859,379.093,390.2,407.674
356.864,359.575,341.564,328.208,355.405,356.912,350.765,358.993,378.859,379.093,390.2,407.674,414.495
359.575,341.564,328.208,355.405,356.912,350.765,358.993,378.859,379.093,390.2,407.674,414.495,404.73
341.564,328.208,355.405,356.912,350.765,358.993,378.859,379.093,390.2,407.674,414.495,404.73,405.976
328.208,355.405,356.912,350.765,358.993,378.859,379.093,390.2,407.674,414.495,404.73,405.976,404.85
355.405,356.912,350.765,358.993,378.859,379.093,390.2,407.674,414.495,404.73,405.976,404.85,383.953
356.912,350.765,358.993,378.859,379.093,390.2,407.674,414.495,404.73,405.976,404.85,383.953,391.78
350.765,358.993,378.859,379.093,390.2,407.674,414.495,404.73,405.976,404.85,383.953,391.78,398.441
358.993,378.859,379.093,390.2,407.674,414.495,404.73,405.976,404.85,383.953,391.78,398.441,400.133
378.859,379.093,390.2,407.674,414.495,404.73,405.976,404.85,383.953,391.78,398.441,400.133,405.402
379.093,390.2,407.674,414.495,404.73,405.976,404.85,383.953,391.78,398.441,400.133,405.402,420.21
390.2,407.674,414.495,404.73,405.976,404.85,383.953,391.78,398.441,400.133,405.402,420.21,439.059
407.674,414.495,404.73,405.976,404.85,383.953,391.78,398.441,400.133,405.402,420.21,439.059,442.974
414.495,404.73,405.976,404.85,383.953,391.78,398.441,400.133,405.402,420.21,439.059,442.974,424.08
404.73,405.976,404.85,383.953,391.78,398.441,400.133,405.402,420.21,439.059,442.974,424.08,423.43
405.976,404.85,383.953,391.78,398.441,400.133,405.402,420.21,439.059,442.974,424.08,423.43,434.355
404.85,383.953,391.78,398.441,400.133,405.402,420.21,439.059,442.974,424.08,423.43,434.355,429.14
383.953,391.78,398.441,400.133,405.402,420.21,439.059,442.974,424.08,423.43,434.355,429.14,422.903
391.78,398.441,400.133,405.402,420.21,439.059,442.974,424.08,423.43,434.355,429.14,422.903,430.302
398.441,400.133,405.402,420.21,439.059,442.974,424.08,423.43,434.355,429.14,422.903,430.302,424.745
400.133,405.402,420.21,439.059,442.974,424.08,423.43,434.355,429.14,422.903,430.302,424.745,437.773
405.402,420.21,439.059,442.974,424.08,423.43,434.355,429.14,422.903,430.302,424.745,437.773,455.936
420.21,439.059,442.974,424.08,423.43,434.355,429.14,422.903,430.302,424.745,437.773,455.936,470.107
439.059,442.974,424.08,423.43,434.355,429.14,422.903,430.302,424.745,437.773,455.936,470.107,476.668
442.974,424.08,423.43,434.355,429.14,422.903,430.302,424.745,437.773,455.936,470.107,476.668,509.423
424.08,423.43,434.355,429.14,422.903,430.302,424.745,437.773,455.936,470.107,476.668,509.423,549.433
423.43,434.355,429.14,422.903,430.302,424.745,437.773,455.936,470.107,476.668,509.423,549.433,555.518
434.355,429.14,422.903,430.302,424.745,437.773,455.936,470.107,476.668,509.423,549.433,555.518,557.215
429.14,422.903,430.302,424.745,437.773,455.936,470.107,476.668,509.423,549.433,555.518,557.215,611.853
422.903,430.302,424.745,437.773,455.936,470.107,476.668,509.423,549.433,555.518,557.215,611.853,676.769
430.302,424.745,437.773,455.936,470.107,476.668,509.423,549.433,555.518,557.215,611.853,676.769,597.898
424.745,437.773,455.936,470.107,476.668,509.423,549.433,555.518,557.215,611.853,676.769,597.898,633.093
437.773,455.936,470.107,476.668,509.423,549.433,555.518,557.215,611.853,676.769,597.898,633.093,631.557
455.936,470.107,476.668,509.423,549.433,555.518,557.215,611.853,676.769,597.898,633.093,631.557,600.15
470.107,476.668,509.423,549.433,555.518,557.215,611.853,676.769,597.898,633.093,631.557,600.15,586.648
476.668,509.423,549.433,555.518,557.215,611.853,676.769,597.898,633.093,631.557,600.15,586.648,626.825
509.423,549.433,555.518,557.215,611.853,676.769,597.898,633.093,631.557,600.15,586.648,626.825,629.513
549.433,555.518,557.215,611.853,676.769,597.898,633.093,631.557,600.15,586.648,626.825,629.513,630.352
555.518,557.215,611.853,676.769,597.898,633.093,631.557,600.15,586.648,626.825,629.513,630.352,665.103
557.215,611.853,676.769,597.898,633.093,631.557,600.15,586.648,626.825,629.513,630.352,665.103,655.891
611.853,676.769,597.898,633.093,631.557,600.15,586.648,626.825,629.513,630.352,665.103,655.891,680.008
676.769,597.898,633.093,631.557,600.15,586.648,626.825,629.513,630.352,665.103,655.891,680.008,668.31
597.898,633.093,631.557,600.15,586.648,626.825,629.513,630.352,665.103,655.891,680.008,668.31,655.714
633.093,631.557,600.15,586.648,626.825,629.513,630.352,665.103,655.891,680.008,668.31,655.714,665.266
631.557,600.15,586.648,626.825,629.513,630.352,665.103,655.891,680.008,668.31,655.714,665.266,664.53
600.15,586.648,626.825,629.513,630.352,665.103,655.891,680.008,668.31,655.714,665.266,664.53,710.645
586.648,626.825,629.513,630.352,665.103,655.891,680.008,668.31,655.714,665.266,664.53,710.645,754.48
626.825,629.513,630.352,665.103,655.891,680.008,668.31,655.714,665.266,664.53,710.645,754.48,808.311
629.513,630.352,665.103,655.891,680.008,668.31,655.714,665.266,664.53,710.645,754.48,808.311,803.618
630.352,665.103,655.891,680.008,668.31,655.714,665.266,664.53,710.645,754.48,808.311,803.618,887.784
665.103,655.891,680.008,668.31,655.714,665.266,664.53,710.645,754.48,808.311,803.618,887.784,924.283
655.891,680.008,668.31,655.714,665.266,664.53,710.645,754.48,808.311,803.618,887.784,924.283,971.055
680.008,668.31,655.714,665.266,664.53,710.645,754.48,808.311,803.618,887.784,924.283,971.055,911.6
668.31,655.714,665.266,664.53,710.645,754.48,808.311,803.618,887.784,924.283,971.055,911.6,889.125
655.714,665.266,664.53,710.645,754.48,808.311,803.618,887.784,924.283,971.055,911.6,889.125,889.536
665.266,664.53,710.645,754.48,808.311,803.618,887.784,924.283,971.055,911.6,889.125,889.536,941.167
664.53,710.645,754.48,808.311,803.618,887.784,924.283,971.055,911.6,889.125,889.536,941.167,840.388
710.645,754.48,808.311,803.618,887.784,924.283,971.055,911.6,889.125,889.536,941.167,840.388,824.92
754.48,808.311,803.618,887.784,924.283,971.055,911.6,889.125,889.536,941.167,840.388,824.92,812.815
808.311,803.618,887.784,924.283,971.055,911.6,889.125,889.536,941.167,840.388,824.92,812.815,757.85
803.618,887.784,924.283,971.055,911.6,889.125,889.536,941.167,840.388,824.92,812.815,757.85,819.94
887.784,924.283,971.055,911.6,889.125,889.536,941.167,840.388,824.92,812.815,757.85,819.94,857.726
924.283,971.055,911.6,889.125,889.536,941.167,840.388,824.92,812.815,757.85,819.94,857.726,939.763
971.055,911.6,889.125,889.536,941.167,840.388,824.92,812.815,757.85,819.94,857.726,939.763,925.989
911.6,889.125,889.536,941.167,840.388,824.92,812.815,757.85,819.94,857.726,939.763,925.989,892.663
889.125,889.536,941.167,840.388,824.92,812.815,757.85,819.94,857.726,939.763,925.989,892.663,926.855
889.536,941.167,840.388,824.92,812.815,757.85,819.94,857.726,939.763,925.989,892.663,926.855,947.807
941.167,840.388,824.92,812.815,757.85,819.94,857.726,939.763,925.989,892.663,926.855,947.807,934.272
840.388,824.92,812.815,757.85,819.94,857.726,939.763,925.989,892.663,926.855,947.807,934.272,949.5
824.92,812.815,757.85,819.94,857.726,939.763,925.989,892.663,926.855,947.807,934.272,949.5,996.443
812.815,757.85,819.94,857.726,939.763,925.989,892.663,926.855,947.807,934.272,949.5,996.443,1043.511
757.85,819.94,857.726,939.763,925.989,892.663,926.855,947.807,934.272,949.5,996.443,1043.511,1126.119
819.94,857.726,939.763,925.989,892.663,926.855,947.807,934.272,949.5,996.443,1043.511,1126.119,1135.012
857.726,939.763,925.989,892.663,926.855,947.807,934.272,949.5,996.443,1043.511,1126.119,1135.012,1119.575
939.763,925.989,892.663,926.855,947.807,934.272,949.5,996.443,1043.511,1126.119,1135.012,1119.575,1095.8
925.989,892.663,926.855,947.807,934.272,949.5,996.443,1043.511,1126.119,1135.012,1119.575,1095.8,1115.554
892.663,926.855,947.807,934.272,949.5,996.443,1043.511,1126.119,1135.012,1119.575,1095.8,1115.554,1148.475
926.855,947.807,934.272,949.5,996.443,1043.511,1126.119,1135.012,1119.575,1095.8,1115.554,1148.475,1204.321
947.807,934.272,949.5,996.443,1043.511,1126.119,1135.012,1119.575,1095.8,1115.554,1148.475,1204.321,1232.382
934.272,949.5,996.443,1043.511,1126.119,1135.012,1119.575,1095.8,1115.554,1148.475,1204.321,1232.382,1196.0
949.5,996.443,1043.511,1126.119,1135.012,1119.575,1095.8,1115.554,1148.475,1204.321,1232.382,1196.0,1213.464
996.443,1043.511,1126.119,1135.012,1119.575,1095.8,1115.554,1148.475,1204.321,1232.382,1196.0,1213.464,1271.461
1043.511,1126.119,1135.012,1119.575,1095.8,1115.554,1148.475,1204.321,1232.382,1196.0,1213.464,1271.461,1343.19
1126.119,1135.012,1119.575,1095.8,1115.554,1148.475,1204.321,1232.382,1196.0,1213.464,1271.461,1343.19,1371.784
1135.012,1119.575,1095.8,1115.554,1148.475,1204.321,1232.382,1196.0,1213.464,1271.461,1343.19,1371.784,1393.512
1119.575,1095.8,1115.554,1148.475,1204.321,1232.382,1196.0,1213.464,1271.461,1343.19,1371.784,1393.512,1360.475
1095.8,1115.554,1148.475,1204.321,1232.382,1196.0,1213.464,1271.461,1343.19,1371.784,1393.512,1360.475,1371.313
1115.554,1148.475,1204.321,1232.382,1196.0,1213.464,1271.461,1343.19,1371.784,1393.512,1360.475,1371.313,1422.848
1148.475,1204.321,1232.382,1196.0,1213.464,1271.461,1343.19,1371.784,1393.512,1360.475,1371.313,1422.848,1474.431
1204.321,1232.382,1196.0,1213.464,1271.461,1343.19,1371.784,1393.512,1360.475,1371.313,1422.848,1474.431,1512.188
1232.382,1196.0,1213.464,1271.461,1343.19,1371.784,1393.512,1360.475,1371.313,1422.848,1474.431,1512.188,1528.38
1196.0,1213.464,1271.461,1343.19,1371.784,1393.512,1360.475,1371.313,1422.848,1474.431,1512.188,1528.38,1568.526
1213.464,1271.461,1343.19,1371.784,1393.512,1360.475,1371.313,1422.848,1474.431,1512.188,1528.38,1568.526,1759.5
1271.461,1343.19,1371.784,1393.512,1360.475,1371.313,1422.848,1474.431,1512.188,1528.38,1568.526,1759.5,1780.648
1343.19,1371.784,1393.512,1360.475,1371.313,1422.848,1474.431,1512.188,1528.38,1568.526,1759.5,1780.648,1667.893
1371.784,1393.512,1360.475,1371.313,1422.848,1474.431,1512.188,1528.38,1568.526,1759.5,1780.648,1667.893,1735.977
1393.512,1360.475,1371.313,1422.848,1474.431,1512.188,1528.38,1568.526,1759.5,1780.648,1667.893,1735.977,1652.725
1360.475,1371.313,1422.848,1474.431,1512.188,1528.38,1568.526,1759.5,1780.648,1667.893,1735.977,1652.725,1656.095
1371.313,1422.848,1474.431,1512.188,1528.38,1568.526,1759.5,1780.648,1667.893,1735.977,1652.725,1656.095,1743.095
1422.848,1474.431,1512.188,1528.38,1568.526,1759.5,1780.648,1667.893,1735.977,1652.725,1656.095,1743.095,1675.057
1474.431,1512.188,1528.38,1568.526,1759.5,1780.648,1667.893,1735.977,1652.725,1656.095,1743.095,1675.057,1648.539
1512.188,1528.38,1568.526,1759.5,1780.648,1667.893,1735.977,1652.725,1656.095,1743.095,1675.057,1648.539,1585.114
1528.38,1568.526,1759.5,1780.648,1667.893,1735.977,1652.725,1656.095,1743.095,1675.057,1648.539,1585.114,1595.632
1568.526,1759.5,1780.648,1667.893,1735.977,1652.725,1656.095,1743.095,1675.057,1648.539,1585.114,1595.632,1592.784
1759.5,1780.648,1667.893,1735.977,1652.725,1656.095,1743.095,1675.057,1648.539,1585.114,1595.632,1592.784,1625.682
1780.648,1667.893,1735.977,1652.725,1656.095,1743.095,1675.057,1648.539,1585.114,1595.632,1592.784,1625.682,1741.925
1667.893,1735.977,1652.725,1656.095,1743.095,1675.057,1648.539,1585.114,1595.632,1592.784,1625.682,1741.925,1746.348
1735.977,1652.725,1656.095,1743.095,1675.057,1648.539,1585.114,1595.632,1592.784,1625.682,1741.925,1746.348,1724.352
1652.725,1656.095,1743.095,1675.057,1648.539,1585.114,1595.632,1592.784,1625.682,1741.925,1746.348,1724.352,1687.342
1656.095,1743.095,1675.057,1648.539,1585.114,1595.632,1592.784,1625.682,1741.925,1746.348,1724.352,1687.342,1671.886
1743.095,1675.057,1648.539,1585.114,1595.632,1592.784,1625.682,1741.925,1746.348,1724.352,1687.342,1671.886,1630.688
1675.057,1648.539,1585.114,1595.632,1592.784,1625.682,1741.925,1746.348,1724.352,1687.342,1671.886,1630.688,1591.013
1648.539,1585.114,1595.632,1592.784,1625.682,1741.925,1746.348,1724.352,1687.342,1671.886,1630.688,1591.013,1485.905
1585.114,1595.632,1592.784,1625.682,1741.925,1746.348,1724.352,1687.342,1671.886,1630.688,1591.013,1485.905,1416.143
1595.632,1592.784,1625.682,1741.925,1746.348,1724.352,1687.342,1671.886,1630.688,1591.013,1485.905,1416.143,1342.7
1592.784,1625.682,1741.925,1746.348,1724.352,1687.342,1671.886,1630.688,1591.013,1485.905,1416.143,1342.7,1284.348
1625.682,1741.925,1746.348,1724.352,1687.342,1671.886,1630.688,1591.013,1485.905,1416.143,1342.7,1284.348,1345.048
1741.925,1746.348,1724.352,1687.342,1671.886,1630.688,1591.013,1485.905,1416.143,1342.7,1284.348,1345.048,1348.464
1746.348,1724.352,1687.342,1671.886,1630.688,1591.013,1485.905,1416.143,1342.7,1284.348,1345.048,1348.464,1314.402
1724.352,1687.342,1671.886,1630.688,1591.013,1485.905,1416.143,1342.7,1284.348,1345.048,1348.464,1314.402,1277.417
1687.342,1671.886,1630.688,1591.013,1485.905,1416.143,1342.7,1284.348,1345.048,1348.464,1314.402,1277.417,1221.588
1671.886,1630.688,1591.013,1485.905,1416.143,1342.7,1284.348,1345.048,1348.464,1314.402,1277.417,1221.588,1243.068
1630.688,1591.013,1485.905,1416.143,1342.7,1284.348,1345.048,1348.464,1314.402,1277.417,1221.588,1243.068,1298.713
1591.013,1485.905,1416.143,1342.7,1284.348,1345.048,1348.464,1314.402,1277.417,1221.588,1243.068,1298.713,1336.56
1485.905,1416.143,1342.7,1284.348,1345.048,1348.464,1314.402,1277.417,1221.588,1243.068,1298.713,1336.56,1299.175
1416.143,1342.7,1284.348,1345.048,1348.464,1314.402,1277.417,1221.588,1243.068,1298.713,1336.56,1299.175,1288.913
1342.7,1284.348,1345.048,1348.464,1314.402,1277.417,1221.588,1243.068,1298.713,1336.56,1299.175,1288.913,1277.857
1284.348,1345.048,1348.464,1314.402,1277.417,1221.588,1243.068,1298.713,1336.56,1299.175,1288.913,1277.857,1312.989
1345.048,1348.464,1314.402,1277.417,1221.588,1243.068,1298.713,1336.56,1299.175,1288.913,1277.857,1312.989,1297.005
1348.464,1314.402,1277.417,1221.588,1243.068,1298.713,1336.56,1299.175,1288.913,1277.857,1312.989,1297.005,1241.33
1314.402,1277.417,1221.588,1243.068,1298.713,1336.56,1299.175,1288.913,1277.857,1312.989,1297.005,1241.33,1223.565
1277.417,1221.588,1243.068,1298.713,1336.56,1299.175,1288.913,1277.857,1312.989,1297.005,1241.33,1223.565,1176.413
1221.588,1243.068,1298.713,1336.56,1299.175,1288.913,1277.857,1312.989,1297.005,1241.33,1223.565,1176.413,1200.44
1243.068,1298.713,1336.56,1299.175,1288.913,1277.857,1312.989,1297.005,1241.33,1223.565,1176.413,1200.44,1249.333
1298.713,1336.56,1299.175,1288.913,1277.857,1312.989,1297.005,1241.33,1223.565,1176.413,1200.44,1249.333,1231.1
1336.56,1299.175,1288.913,1277.857,1312.989,1297.005,1241.33,1223.565,1176.413,1200.44,1249.333,1231.1,1180.636
1299.175,1288.913,1277.857,1312.989,1297.005,1241.33,1223.565,1176.413,1200.44,1249.333,1231.1,1180.636,1198.253
1288.913,1277.857,1312.989,1297.005,1241.33,1223.565,1176.413,1200.44,1249.333,1231.1,1180.636,1198.253,1197.684
1277.857,1312.989,1297.005,1241.33,1223.565,1176.413,1200.44,1249.333,1231.1,1180.636,1198.253,1197.684,1182.248
1312.989,1297.005,1241.33,1223.565,1176.413,1200.44,1249.333,1231.1,1180.636,1198.253,1197.684,1182.248,1131.58
1297.005,1241.33,1223.565,1176.413,1200.44,1249.333,1231.1,1180.636,1198.253,1197.684,1182.248,1131.58,1117.525
1241.33,1223.565,1176.413,1200.44,1249.333,1231.1,1180.636,1198.253,1197.684,1182.248,1131.58,1117.525,1124.905
1223.565,1176.413,1200.44,1249.333,1231.1,1180.636,1198.253,1197.684,1182.248,1131.58,1117.525,1124.905,1157.123
1176.413,1200.44,1249.333,1231.1,1180.636,1198.253,1197.684,1182.248,1131.58,1117.525,1124.905,1157.123,1088.388
1200.44,1249.333,1231.1,1180.636,1198.253,1197.684,1182.248,1131.58,1117.525,1124.905,1157.123,1088.388,1068.317
1249.333,1231.1,1180.636,1198.253,1197.684,1182.248,1131.58,1117.525,1124.905,1157.123,1088.388,1068.317,1095.655
1231.1,1180.636,1198.253,1197.684,1182.248,1131.58,1117.525,1124.905,1157.123,1088.388,1068.317,1095.655,1194.893
1180.636,1198.253,1197.684,1182.248,1131.58,1117.525,1124.905,1157.123,1088.388,1068.317,1095.655,1194.893,1246.312
1198.253,1197.684,1182.248,1131.58,1117.525,1124.905,1157.123,1088.388,1068.317,1095.655,1194.893,1246.312,1241.452
1197.684,1182.248,1131.58,1117.525,1124.905,1157.123,1088.388,1068.317,1095.655,1194.893,1246.312,1241.452,1259.755
